priority,clinic_name,focus_area,location,website,contact_channel,status,last_contact,next_action,notes
1,뷰티스톤의원 이수점,제모/피부레이저,이수역,https://beautystoneisu.com/,전화+간편상담,not_contacted,,,이수역 바로 앞 / 제모 명시 / 근거리 1순위
1,김윤섭피부과의원,제모/피부레이저,이수역,https://www.kimskinclinic.co.kr/cosmetic-dermatology/laser-pricing/,전화+이벤트페이지,not_contacted,,,공식 가격 공개 / pain 파악 쉬움
1,윤수정의원,피부레이저/상담,이수역,https://www.xn--or3b17fdydwxbc28a.com/%EC%9D%B4%EC%88%98%EC%97%AD-%ED%95%84,전화+카카오문의,not_contacted,,,이수역 근거리 / 상담 신청 폼 존재
1,라마르의원 이수역,피부레이저/제모,이수역,http://www.isu-lamarskin.com,전화,not_contacted,,,근거리 / 홈페이지 존재 / 첫 전화 대상
1,뷰티라운지의원 방배점,제모/피부레이저,방배,https://bangbae.beautyloungeclinic.com/,전화+카카오+네이버예약,not_contacted,,,운영 채널 다수 / 근거리
1,유앤아이의원 서초점,피부레이저/제모,방배,https://www.sduni114.co.kr/direction/,전화,not_contacted,,,위치 가까움 / 상담실 pain 설명 쉬움
2,클레오르의원 강남점,제모/피부레이저,강남,https://gangnam.cleorclinic.com/en,전화+예약,not_contacted,,,이벤트/제모 패키지 명확
2,톡스앤필 강남본점,제모/피부레이저,강남,https://cd.toxnfill.com/m/brandMap.php,전화+카카오채널,not_contacted,,,강남역 초근접 / 카카오채널 강함
2,뮤즈의원 강남점,제모/피부레이저,강남,https://muse01.museclinic.co.kr/,전화+카카오+예약,not_contacted,,,상담하기/바로예약 전면 노출
2,리필톡의원,제모/피부레이저,논현,https://lifilltoxclinic.com/73,전화+온라인상담,not_contacted,,,빠른상담 문의 폼 존재
